ANLAZ,Anlagezustand,System Condition
ARBPL,Arbeitsplatz,Work Centre
AUART,Auftragsart,Sales order type
BUKRS,Buchungkreis,Company code
EBELN,Einkaufsbelegnummer,Purchasing document number
EBELP,Einkaufsbelegposition,Purchasing document item
EQART,Art des technishen Objekts,Type of technical objects
EQUNR,Equipmentnummer,Equipment Number
FLDGP,Feldgruppe zur Gruppierung von einzelnen Feldern,Field group for grouping individual fields
GROES,Groesse bzw Abmessung,Size or Dimension
ILART,Instandhaltungsleistungsart,Maintenance Activity Type
KNTNR,Knotennummer,Node Number
KUNNR,Kundennummer,Customer number
MAHNT,Mahnungstagen,Dunning days
MANDT,Mandant,Client
MATKL,Materialklasse,Material class
SHKZG,Soll/Haben Kennzeichnung,Debit/credit indicator
UZEIT,Uhrzeit,Time
VBELN,Verkaufsbelegnummer,Sales document number
VKORG,Verkaufsorganization,Sales organisaion
VTWEG,Vertriebsweg,Distribution channel
WAERS,Waehrungsschluessel,Currency key
WARPL,Wartungsplan,Maintenance plan
XUSER,Benutzername,User Name
